model,fps,original_acc,black_acc,vgg
internvl2_2b,4,0.0,33.33,-33.33
internvl2_2b,8,33.0,32.99,0.01
internvl2_2b,16,33.33,33.33,0.0
internvl2_2b,24,31.96,31.96,0.0
qwen2vl_2b,4,26.32,32.26,-5.94
qwen2vl_2b,8,27.0,30.0,-3.0
qwen2vl_2b,16,28.0,30.0,-2.0
qwen2vl_2b,24,28.0,30.0,-2.0
qwen2vl_7b,4,50.52,37.37,13.15
qwen2vl_7b,8,48.48,38.0,10.48
qwen2vl_7b,16,49.0,38.0,11.0
qwen2vl_7b,24,49.0,38.0,11.0
qwen25vl_7b,4,62.0,37.0,25.0
qwen25vl_7b,8,63.0,38.0,25.0
qwen25vl_7b,16,61.0,37.0,24.0
qwen25vl_7b,24,61.62,38.0,23.62
qwen3vl_2b,4,34.0,33.0,1.0
qwen3vl_2b,8,42.0,30.0,12.0
qwen3vl_2b,16,36.0,25.0,11.0
qwen3vl_2b,24,40.0,29.0,11.0
