model,fps,condition,total,ok,errors,correct,accuracy
internvl2_2b,4,original,103,0,103,0,0.0
internvl2_2b,4,black,100,42,58,14,33.33
internvl2_2b,8,original,100,100,0,33,33.0
internvl2_2b,8,black,100,97,3,32,32.99
internvl2_2b,16,original,100,84,16,28,33.33
internvl2_2b,16,black,100,84,16,28,33.33
internvl2_2b,24,original,100,97,3,31,31.96
internvl2_2b,24,black,100,97,3,31,31.96
qwen2vl_2b,4,original,100,95,5,25,26.32
qwen2vl_2b,4,black,100,93,7,30,32.26
qwen2vl_2b,8,original,100,100,0,27,27.0
qwen2vl_2b,8,black,100,100,0,30,30.0
qwen2vl_2b,16,original,100,100,0,28,28.0
qwen2vl_2b,16,black,100,100,0,30,30.0
qwen2vl_2b,24,original,100,100,0,28,28.0
qwen2vl_2b,24,black,100,100,0,30,30.0
qwen2vl_7b,4,original,100,97,3,49,50.52
qwen2vl_7b,4,black,100,99,1,37,37.37
qwen2vl_7b,8,original,100,99,1,48,48.48
qwen2vl_7b,8,black,100,100,0,38,38.0
qwen2vl_7b,16,original,100,100,0,49,49.0
qwen2vl_7b,16,black,100,100,0,38,38.0
qwen2vl_7b,24,original,100,100,0,49,49.0
qwen2vl_7b,24,black,100,100,0,38,38.0
qwen25vl_7b,4,original,104,100,4,62,62.0
qwen25vl_7b,4,black,101,100,1,37,37.0
qwen25vl_7b,8,original,100,100,0,63,63.0
qwen25vl_7b,8,black,100,100,0,38,38.0
qwen25vl_7b,16,original,100,100,0,61,61.0
qwen25vl_7b,16,black,100,100,0,37,37.0
qwen25vl_7b,24,original,100,99,1,61,61.62
qwen25vl_7b,24,black,100,100,0,38,38.0
qwen3vl_2b,4,original,100,100,0,34,34.0
qwen3vl_2b,4,black,101,100,1,33,33.0
qwen3vl_2b,8,original,100,100,0,42,42.0
qwen3vl_2b,8,black,100,100,0,30,30.0
qwen3vl_2b,16,original,100,100,0,36,36.0
qwen3vl_2b,16,black,100,100,0,25,25.0
qwen3vl_2b,24,original,100,100,0,40,40.0
qwen3vl_2b,24,black,100,100,0,29,29.0
